question,answer1,answer2,answer3,answer4,correct_answer,image_url
W jaki sposób wykonanie podanej w ramce kwerendy SQL wpłynie na tabelę pracownicy?,Zmieni typ danych kolumny plec na znakowy o stałej długości 9,Doda kolumnę plec ze znakowym typem danych o stałej długości 9,Zmieni typ danych kolumny plec na znakowy o zmiennej długości 9,Doda kolumnę plec ze znakowym typem danych o zmiennej długości 9,0,images/512.jpg
"Wykonując raport w systemie obsługi relacyjnych baz danych, umożliwia się",analizę wybranych danych,usuwanie danych w tabelach,dodawanie danych w tabelach,aktualizowanie danych w tabelach,0,
Przedstawiona instrukcja JavaScript wyświetli,1,0,true,false,3,images/514.jpg
Która wartość tekstowa nie pasuje do podanego w ramce wzorca wyrażenia regularnego?,Kowalski,Kasprowicza,Jelenia Góra,Nowakowska-Kowalska,2,images/515.jpg
Który modyfikator wskazuje podany opis?,static,public,private,protected,2,images/516.jpg
Tworzenie i przypisanie do zmiennej tablicy asocjacyjnej zrealizuje się w PHP zapisem,"$tab = array (1, 2, 3, 4);","$tab = array (array (1, 2), array (3, 4));","$tab = array (); $tab[] = array (1, 2, 3, 4);","$tab = array (""a"" => 1, ""b"" => 2, ""c"" => 3);",3,
W której technologii nie jest możliwe przetwarzanie danych użytkownika wprowadzanych na stronie WWW?,CSS,PHP,AJAX,JavaScript,0,
W programowaniu obiektowym w języku JavaScript użyty w przedstawionym kodzie zapis: this.zawod oznacza,klasę,metodę,konstruktor,właściwość,1,images/519.jpg
W języku PHP sumę logiczną oznacza operator,!,||,+,&&,1,
W jakim formacie będzie wyświetlana data po uruchomieniu przedstawionego kodu?,"Monday, 10 July 2017","10, Monday July 2017","Monday, 10th July 17","Monday, 10th July 2017",3,images/521.jpg
Wynikiem działania pętli for w przedstawionym kodzie PHP jest wyświetlenie liczb,1 0,1 1,1 0 1,1 0 1 0,1,images/522.jpg
"W JavaScript wywołanie zdarzenia onKeydown nastąpi wtedy, gdy klawisz",myszki został naciśnięty,myszki został zwolniony,klawiatury został naciśnięty,klawiatury został zwolniony,2,
Po wykonaniu przedstawionego kodu JavaScript wyświetli się wartość,11,12,13,14,2,images/524.jpg
"Wciśnięcie przycisku o treści ""niebieski"" spowoduje wykonanie przedstawionego kodu JavaScript. Jaki będzie efekt jego działania?",Zmiana koloru przycisku na niebieski,"Zmiana koloru tekstu ""i skrypt"" na niebieski","Zmiana koloru tekstu ""Przykładowy tekst"" na niebieski","Zmiana koloru tekstu ""Przykładowy tekst i skrypt"" na niebieski",2,images/525.jpg
Którego znacznika nie należy umieszczać w nagłówku dokumentu HTML?,<h2>,<link>,<title>,<meta>,0,
"Znacznik języka HTML, który służy do oznaczenia fragmentu tekstu jako kodu komputerowego, to",<em> </em>,<span> </span>,<code> </code>,<blockquote> </blockquote>,2,
"W języku HTML dla hiperłącza wartość atrybutu target, która odpowiada za załadowanie strony do nowego okna lub karty, to",_parent,_blank,_self,_top,1,
Znacznik <ins> w języku HTML służy do oznaczenia,cytowanego bloku tekstu.,tekstu przeformatowanego.,"tekstu, który został dodany.","tekstu, który został usunięty.",2,
Do określenia listy definicji w kodzie HTML używa się znacznika,<dl>,<td>,<abbr>,<label>,0,
Jaki rezultat zostanie wyświetlony po wykonaniu przedstawionego kodu HTML?,A,B,C,D,3,images/531.jpg
"W języku HTML, aby scalić w pionie dwie sąsiednie komórki w kolumnie tabeli, należy zastosować atrybut",colspan,rowspan,cellpadding,cellspacing,1,
"Chcąc dodać do listy rozwijalnej przedstawionego formularza HTML możliwość zaznaczenia kilku opcji jednocześnie, należy w znaczniku select dodać atrybut",size,value,multiple,disabled,2,images/533.jpg
Jak nazywa się metoda dołączania arkusza stylów do dokumentu HTML użyta w przedstawionym kodzie?,Styl zewnętrzny.,Styl wewnętrzny.,"Styl wpisany, lokalny.","Styl alternatywny, zewnętrzny.",2,images/534.jpg
"Tekst paragrafu, wyśrodkowany w pionie, opisuje w CSS reguła",vertical-align: middle,vertical-align: center,text-align: center,align: middle,0,
Dla akapitu zdefiniowano styl CSS. Które właściwości stylu CSS poprawnie opisują dla akapitu krój czcionki: Arial; rozmiar czcionki: 16 pt; styl czcionki: pochylenie?,p{font-style: Arial; size: 16px; font-weight: normal;},p{font-family: Arial; font-size: 16pt; font-style: italic;},p{font-style: Arial; font-size: 16pt; font-variant: normal;},p{font-family: Arial; font-size: 16px; font-variant: normal;},1,
"W stylach CSS, aby ustalić styl linii obramowania jako linię kreskową, należy zastosować wartość",solid,dotted,dashed,groove,2,
"W CSS symbolem jednostki miary, wyrażonej w punktach edytorskich, jest",em,px,pt,in,2,
"Transformację w stylach CSS, polegającą na zamianie tylko pierwszych liter wszystkich wyrazów na wielkie, otrzymamy stosując polecenie",underline,capitalize,uppercase,lowercase,1,
"Podany styl tworzy obramowanie pojedyncze, o następujących cechach:","krawędź górna jest koloru czerwonego, krawędź prawa koloru niebieskiego, krawędź dolna koloru zielonego, krawędź lewa koloru żółtego.","krawędź prawa jest koloru czerwonego, krawędź dolna koloru niebieskiego, krawędź lewa koloru zielonego, krawędź górna koloru żółtego.","krawędź górna jest koloru czerwonego, krawędź lewa koloru niebieskiego, krawędź dolna koloru zielonego, krawędź prawa koloru żółtego.","krawędź lewa jest koloru czerwonego, krawędź dolna koloru niebieskiego, krawędź prawa koloru zielonego, krawędź górna koloru żółtego.",0,images/540.jpg
Która z operacji nie wpłynie na rozmiar / wielkość zajmowanej pamięci pliku graficznego?,Skalowanie obrazu za pomocą atrybutów HTML.,Zmiana rozdzielczości obrazu.,Interpolacja.,Kompresja.,0,
Bitmapa jest obrazem,rastrowym.,analogowym.,wektorowym.,interakcyjnym.,0,
Jednostka ppi (pixels per inch),określa rozdzielczość obrazów rastrowych.,określa rozdzielczości obrazów generowanych przez drukarki i plotery.,jest parametrem określającym rozdzielczość cyfrowych urządzeń wykonujących pomiary.,jest jednostką rozdzielczości skanerów określająca częstość wykonywanych próbkowań obrazu.,0,
Jaką funkcję pełni kwerenda krzyżowa w bazie MS Access?,Modyfikuje istniejące dane w tabeli,Usuwa rekordy tabel według podanych kryteriów.,Dołącza do wybranej tabeli rekordy z innej tabeli.,Prezentuje zliczone wartości z pola i przyporządkowuje je w wiersze i kolumny.,3,
Funkcja CONCAT() w języku SQL odpowiada za,usunięcie wskazanego tekstu.,łączenie wyświetlanego tekstu.,przycięcie wyświetlanego tekstu.,wyznaczenie z wejściowego tekstu podłańcucha znaków.,1,
Na podstawie tabeli Towar wykonano następujące zapytanie SQL: Jaki będzie wynik tej operacji?,"Zeszyt A5 w linie, Zeszyt A5, Kredki 24 kolory, Papier ksero A4","Zeszyt A5, Zeszyt A5 w linie, Kredki 24 kolory, Papier ksero A4","Papier ksero A4, Kredki 24 kolory, Zeszyt A5, Zeszyt A5 w linie","Papier ksero A4, Kredki 24 kolory, Zeszyt A5, Zeszyt A5 w linie
Papier ksero A4, Kredki 24 kolory, Zeszyt A5 w linie, Zeszyt A5",2,images/546.jpg
"W tabeli produkt znajdują się przedmioty wyprodukowane po 2000 roku, z polami nazwa i rok_produkcji. Klauzula SQL wyświetli listę przedmiotów wyprodukowanych",w roku 2017.,po roku 2017.,przed rokiem 2017.,w latach innych niż 2017.,0,images/547.jpg
"Struktura prostych baz danych, w których wszystkie dane są przechowywane w jednej tabeli, nazywana jest modelem",sieciowym,relacyjnym.,jednorodnym.,hierarchicznym.,2,
"W przedstawionym diagramie bazy danych biblioteka, elementy: czytelnik, wypozyczenie i ksiazka są",atrybutami.,krotkami.,encjami.,polami.,2,images/549.jpg
"W języku zapytań SQL, aby dodać do tabeli Towar kolumnę rozmiar typu znakowego o maksymalnej długości 20 znaków, należy wykonać polecenie",ALTER TABLE Towar ADD rozmiar varchar(20);,ALTER TABLE Towar DROP COLUMN rozmiar varchar(20);,ALTER TABLE Towar ALTER COLUMN rozmiar varchar(20);,ALTER TABLE Towar CREATE COLUMN rozmiar varchar(20);,0,
"Liczba 0x142, zapisana w kodzie skryptu JavaScript, ma postać",dziesiętną.,dwójkową.,ósemkową.,szesnastkową.,3,
"W aplikacjach internetowych tablice asocjacyjne to tablice, w których",indeks jest łańcuchem tekstowym.,istnieją przynajmniej dwa wymiary.,elementy tablicy są zawsze indeksowane od 0.,w każdej komórce tablicy przechowywana jest inna tablica.,0,
"Odwołaniem do imienia Agata, zawartym w przedstawionej tablicy JavaScript, jest element",Imiona[4];,Imiona[3];,Imiona[Agata];,Imiona['Agata'];,1,images/553.jpg
"Specjalna metoda danej klasy stosowana w programowaniu obiektowym, wywoływana automatycznie podczas tworzenia obiektu,której podstawowym zadaniem jest zwykle zainicjowanie pól, to",obiekt.,destruktor.,konstruktor.,specyfikator dostępu.,2,
Wskaż poprawny zapis instrukcji zapisanej w języku JavaScript.,"document.write(""Liczba π z dokładnością do 2 miejsc po przecinku ≈ "" + 3.14 );","document.write(""Liczba π z dokładnością do 2 miejsc po przecinku ≈ "" ; 3.14 );","document.write(""Liczba π z dokładnością do 2 miejsc po przecinku ≈ "" . 3.14 );","document.write(""Liczba π z dokładnością do 2 miejsc po przecinku ≈ "" 3.14 );",0,
"W języku skryptowym JavaScript operatory: ||, && należą do grupy operatorów",bitowych.,logicznych.,przypisania.,arytmetycznych.,1,
"Wskaż pętlę, która w języku JavaScript wyświetli sześć kolejnych liczb parzystych.",for(i=2;i<12;i+=2) {document.write(i);},for(i=2;i<=12;i+=2) {document.write(i);},for(i=2;i<12;i++) {i++; document.write(i);},for(i=2;i<=12;i++) {i=i+2; document.write(i);},1,
Wybierz poprawną definicję funkcji w języku JavaScript.,nazwa_funkcji(argumenty) {instrukcje;},new nazwa_funkcji(argumenty) {instrukcje;},function nazwa_funkcji(argumenty) {instrukcje;},typ_funkcji nazwa_funkcji(argumenty) {instrukcje;},2,
W języku PHP zapisywanie danych do pliku realizuje funkcja?,fgets(),fputs(),fopen(),freadfile(),1,
"Plikiem konfiguracyjnym, który pozwala na zdefiniowanie ustawień PHP dla całego serwera, jest",my.ini,php.ini,httpd.conf,config.inc.php,1,
Efektem wykonania przedstawionego kodu PHP jest wyświetlenie komunikatu,warunek1,warunek2,warunek3,warunek4,1,images/561.jpg
Ile razy zostanie wykonana pętla zapisana w przedstawionym skrypcie PHP?,0,5,6,7,2,images/562.jpg
"Jaką wartość zwróci funkcja empty($a); zapisana w języku PHP, gdy zmienna $a przyjmie wartość liczbową równą 0?",0,TRUE,NULL,FALSE,1,
"W języku JavaScript, funkcja matematyczna Math.pow() służy do wyznaczenia",potęgi liczby.,wartości przybliżonej liczby.,wartości bezwzględnej liczby.,pierwiastka kwadratowego liczby.,0,
"Jakie wartości muszą przyjmować zmienne w funkcji biblioteki mysqli, aby połączyć się z serwerem i bazą danych?","adres serwera - $a, nazwa bazy danych - $b, login - $c, hasło - $d","adres serwera - $c, nazwa bazy danych - $d, login - $a, hasło - $b","adres serwera - $c, nazwa bazy danych - $d, login - $b, hasło - $a","adres serwera - $a, nazwa bazy danych - $d, login - $b, hasło - $c",3,images/565.jpg
"W którym z bloków należy umieścić warunek pętli?
",A,B,C,D,2,images/566.jpg
"Ile razy należy zapisać instrukcję warunkową, aby zaimplementować w języku programowania przedstawiony algorytm? ",Jeden raz.,Dwa razy.,Trzy razy.,Cztery razy.,1,images/567.jpg
"W języku C, aby zadeklarować stałą, należy użyć",const,static,#CONST,#INCLUDE,0,
"Które z wyrażeń logicznych zapisanych w języku C sprawdza, czy zmienna o nazwie zm1 należy do przedziału (6, 203> ?
",(zm1 > 6) || (zm1 <= 203),(zm1 > 6) || (zm1 != 203),(zm1 > 6) && (zm1 <= 203),(zm1 > 6) && (zm1 != 203),2,
"Kwalifikatory dostępu: private, protected i public definiują mechanizm",przeładowania.,polimorfizmu.,hermetyzacji.,rekurencji.,2,
"bool gotowe=true;
cout << gotowe;
Co zostanie wypisane w wyniku wykonania przedstawionych instrukcji?
",0,1,tak,nie,1,
Za pomocą którego słowa kluczowego deklaruje się zmienną w języku JavaScript?,var,new,variable,instanceof,0,
Zadaniem przedstawionej pętli jest,wypełnienie tabeli Ksiazka danymi.,wypisanie na ekranie danych tabeli Ksiazka.,utworzenie dziesięciu obiektów typu Ksiazka.,utworzenie jednego obiektu typu mojeKsiazki.,2,images/573.jpg
"Która z deklaracji funkcji w języku C++ ma parametr wejściowy typu rzeczywistego, a zwraca wartość całkowitą?",void fun1(int a);,int fun1(float a);,float fun1(int a);,float fun1(void a);,1,
"Jednym z wariantów testów jednostkowych jest analiza ścieżek, która polega na",testowaniu wartości brzegowych zbioru danych.,testowaniu obiektów pod względem inicjacji i zwolnienia zarezerwowanej pamięci.,"określeniu punktu początkowego i końcowego oraz badaniu możliwych dróg pomiędzy tymi
punktami.","utworzeniu kilku zbiorów danych o podobnym sposobie przetwarzania i użyciu ich do
przeprowadzenia testu.",2,
Który sposób komentowania w języku PHP pozwala na zapis bloku komentarza w kilku liniach?,#,/ /,/*   */,<!--  -->,2,
Pole lub zbiór pól jednoznacznie identyfikujący każdy pojedynczy wiersz w tabeli w bazie danych to klucz,inkrementacyjny.,podstawowy.,przestawny.,obcy.,1,
"W języku SQL, aby zmienić strukturę tabeli, np. poprzez dodanie lub usunięcie kolumny, należy zastosować polecenie",UPDATE,TRUNCATE,DROP TABLE,ALTER TABLE,3,
Atrybut kolumny NOT NULL jest wymagany w przypadku,klucza podstawowego.,użycia atrybutu DEFAULT.,definicji wszystkich pól tabeli.,definicji wszystkich pól typu numerycznego.,0,
"Aby za pomocą polecenia SELECT wyświetlić nazwiska osób mieszkających na osiedlu tak, aby te nazwiska nie powtarzały się, należy zapisać zapytanie w postaci",SELECT nazwisko FROM mieszkancy ORDER BY nazwisko;,SELECT DISTINCT nazwisko FROM mieszkancy;,SELECT TOP 10 nazwisko FROM mieszkancy;,SELECT AVG(nazwisko) FROM mieszkancy;,1,
"Baza danych zawiera dane multimedialne, co wiąże się z przechowywaniem dużych ilości danych binarnych. Do takich danych należy zastosować typ",BLOB,ENUM,DOUBLE,LONGTEXT,0,
"W tabeli Recepta pola Imie i Nazwisko dotyczą pacjenta, na którego recepta jest wydana. Którą kwerendę należy zastosować, aby dla wszystkich recept uzyskać datę wystawienia recepty oraz imię i nazwisko lekarza wystawiającego?","SELECT Imie, Nazwisko, DataWystawienia FROM Recepta;","SELECT Lekarz.Imie, Lekarz.Nazwisko, DataWystawienia FROM Recepta;","SELECT Imie, DataWystawienia FROM Recepta JOIN Lekarz ON Recepta.Lekarz_id = Lekarz.id;","SELECT Lekarz.Imie, Lekarz.Nazwisko, DataWystawienia FROM Recepta JOIN Lekarz ON Recepta.Lekarz_id = Lekarz.id;
",3,images/582.jpg
W bazach danych do prezentacji danych spełniających określone warunki należy utworzyć,raport.,relację.,formularz.,makropolecenie.,0,
"Które polecenie służy do zmiany wartości o jeden w polu RokStudiów w tabeli Studenci dla studentów, którzy studiują na roku 1÷4?
","UPDATE Studenci, RokStudiow+1 WHERE RokStudiow < 5;",UPDATE Studenci SET RokStudiow WHERE RokStudiow < 5;,UPDATE RokStudiow SET RokStudiow++ WHERE RokStudiow < 5;,"UPDATE Studenci SET RokStudiow = RokStudiow+1 WHERE RokStudiow
< 5;",3,
Wskaż różnicę pomiędzy poleceniami DROP TABLE i TRUNCATE TABLE.,"DROP TABLE usuwa tabelę, a TRUNCATE TABLE modyfikuje w niej dane spełniające
warunek.","DROP TABLE usuwa tabelę, a TRUNCATE TABLE usuwa wszystkie dane, pozostawiając
pustą tabelę.","Obydwa polecenia usuwają jedynie zawartość tabeli, ale tylko polecenie DROP TABLE może
być cofnięte.","Obydwa polecenia usuwają tabelę wraz zawartością, ale tylko polecenie TRUNCATE TABLE może być cofnięte.",1,
"Aby nadać użytkownikowi uprawnienia do tabel w bazie danych, należy zastosować polecenie",GRANT,SELECT,CREATE,REVOKE,0,
"Aby przesłać dane za pomocą funkcji mysqli_query() w skrypcie PHP, który wstawia do bazy danych dane pobrane z formularza ze strony internetowej, jako jednego z parametrów należy użyć kwerendy",INSERT INTO,UPDATE,SELECT,ALTER,0,
"Przedstawiony fragment kodu PHP działa poprawnie i ma za zadanie wyświetlić na stronie internetowej dane pobrane kwerendą z bazy danych. Z ilu pól zostaną wyświetlone dane?
",Z jednego pola.,Z dwóch pól.,Z trzech pól.,Z czterech pól.,2,images/588.jpg
"Na rysunku przedstawiono strukturę bloków strony internetowej. Który z fragmentów formatowania strony pasuje do takiego układu? (Dla uproszczenia pominięto właściwości koloru tła, wysokości i czcionki)
","#pierwszy {float:left; width:30%; } 
#drugi {clear:both; width:70%; } 
#trzeci {float:left; width:70%; } 
#czwarty {clear:both; } ","#pierwszy {float:left; width:30%;} 
#drugi {float:left; width:70%;} 
#trzeci {float:left; width:70%;} 
#czwarty {clear:both; } ","#pierwszy { width: 30%; } 
#drugi { width: 70%; } 
#trzeci { width: 70%; } 
#czwarty { width: 100%; }","#pierwszy{float:left; width:30%;} 
#drugi {clear:both; width:70%;} 
#trzeci {clear:both; width:70%;} 
#czwarty {float:left; width:100%;}",1,images/589.jpg
"Wskaż nazwę Systemu Zarządzania Treścią, którego logo zostało przedstawione na rysunku.",Drupal,Joomla!,WordPress,MediaWiki,1,images/590.jpg
Który kod języka HTML da efekt formatowania jak na przedstawionym rysunku?,"<p> W tym <i> paragrafie zobaczysz sposoby formatowania </i> tekstu w HTML </p>
","<p> W tym <b> paragrafie <i> zobaczysz </i> sposoby formatowania </b> tekstu w HTML </p>
","<p> W tym <i> paragrafie <b> zobaczysz </b> sposoby formatowania </i> tekstu w HTML </p>
",<p> W tym <i> paragrafie </i> <b> zobaczysz </b> <i> sposoby formatowania </i> tekstu w HTML </p>,2,images/591.jpg
Który znacznik należy do znaczników definiujących listy w języku HTML?,<tr>,<th>,<td>,<ul>,3,
"Który z kodów HTML opisuje przedstawioną tabelę? (Dla uproszczenia pominięto zapis stylu obramowania tabeli i komórek)
",A,B,C,D,1,images/593.jpg
Przedstawione w języku CSS formatowanie czcionki będzie obowiązywać dla,znaczników o id równym *.,znaczników z przypisaną klasą równą *.,"całego kodu HTML, niezależnie od późniejszych ustawień CSS.","całego kodu HTML, jako formatowanie domyślne dla wszystkich elementów strony.",3,images/594.jpg
"Której właściwości CSS należy użyć, aby zdefiniować marginesy wewnętrzne dla elementu?",hight,width,margin,padding,3,
"W kodzie CSS zastosowano formatowanie elementu listy, przy czym żadne inne formatowanie CSS nie zostało zdefiniowane. Zastosowane formatowanie sprawi, że","tekst wszystkich elementów, którym przypisano id „hover” będzie w kolorze Maroon.","po najechaniu kursorem na element listy, zmieni się kolor tekstu na Maroon.",tekst wszystkich elementów listy będzie w kolorze Maroon.,kolor Maroon będzie obejmował co drugi element listy.,1,images/596.jpg
"Wartości: static, relative, fixed, absolute oraz sticky można przypisać do właściwości",display,position,list-style-type,text-transform,1,
"Aby dostosować stronę internetową dla niewidomych, należy nadać wyświetlanym za pomocą znacznika img obrazom atrybut",alt,src,text,style,0,
"Którą czynność należy wykonać podczas obróbki zdjęcia w edytorze grafiki, aby białe tło zamienić na przezroczystość? ",Dodać kanał alfa.,Skadrować obraz.,Zmienić saturację obrazu.,Maksymalnie zmniejszyć jasność.,0,
"Aby zwiększyć szybkość działania strony zawierającej grafikę o wymiarach 2000 px na 760 px, należy zmniejszyć rozmiary grafiki
",w programie graficznym.,za pomocą atrybutów HTML.,"za pomocą właściwości CSS, podając rozmiar w pikselach.","za pomocą właściwości CSS, podając rozmiar w procentach.",0,
Przedstawiona linia kodu została zapisana w języku,C#,PHP,Python,JavaScript,3,images/601.jpg
"Na stronie internetowej znajduje się formularz, do którego należy zaprogramować następujące funkcje: 
- walidacja: w trakcie wypełniania formularza w czasie rzeczywistym jest sprawdzana poprawność danych 
- przesyłanie danych: po wypełnieniu formularza i jego zatwierdzeniu dane są przesyłane do bazy danych
na serwerze 
Aby zaimplementować tę funkcjonalność w możliwie najprostszy sposób, należy zapisać",walidację i przesyłanie danych w języku PHP.,walidację i przesyłanie danych w języku JavaScript.,"walidację w skrypcie PHP, a przesyłanie danych w JavaScript.","walidację w języku JavaScript, a przesyłanie danych w skrypcie PHP.",3,
"Globalne tablice do przechowywania danych o ciastkach i sesjach: $ _ COOKIE oraz $ _ SESSION są częścią
języka
",C#,Perl,PHP,JavaScript,2,
"Podczas walidacji dokumentu HTML5 pojawił się komunikat o treści: „Error: Element head is missing a required instance of child element title”. Oznacza to, że w dokumencie
",element <title> nie jest wymagany.,element <title> nie został zamknięty przez </title>.,nie zdefiniowano elementu <title> w części <head> dokumentu.,nie zdefiniowano obowiązkowego atrybutu title w znaczniku <img>.,2,
"Którego protokołu należy użyć, aby przesłać pliki strony internetowej na serwer hostingowy?",FTP,IRC,HTTP,SMTP,0,
Przedstawiony blok reprezentuje czynność,zastosowania gotowej procedury lub funkcji.,wczytania lub wyświetlenia danych.,wykonania zadania w pętli.,podjęcia decyzji.,3,images/606.jpg
"Aby zadeklarować pole klasy, do którego mają dostęp jedynie metody tej klasy i pole to nie jest dostępne dla klas pochodnych, należy użyć kwalifikatora dostępu",public.,private.,protected.,published.,1,
"Pętla while powinna być wykonywana tak długo, jak długo zmienna x będzie przyjmowała wartości z przedziału obustronnie otwartego (-2, 5). Zapis tego warunku w nagłówku pętli za pomocą języka PHP ma postać",($x > -2) && ($x < 5),($x == -2) && ($x < 5),($x < -2) || ($x > 5),($x > -2) || ($x > 5),0,
Po wykonaniu się przedstawionego fragmentu kodu języka C/C++ zmiennej o nazwie zmienna2 zostanie,przypisany adres zmiennej o nazwie zmienna1.,"przypisana ta sama wartość, co przechowywana w zmienna1.",przypisana zamieniona na łańcuch wartość przechowywana w zmienna1.,przypisana liczba w kodzie binarnym odpowiadająca wartości przechowywanej w zmienna1.,0,images/609.jpg
W języku PHP float reprezentuje typ,logiczny.,całkowity.,łańcuchowy.,zmiennoprzecinkowy.,3,
"Którym słowem kluczowym, w języku z rodziny C należy posłużyć się, aby przypisać alternatywną nazwę dla istniejącego typu danych?",enum,union,switch,typedef,3,
Instrukcja for może być zastąpiona instrukcją,case,while,switch,continue,1,
"Przedstawiony kod źródłowy, zapisany w języku C++, ma za zadanie dla wprowadzanych dowolnych całkowitych liczb różnych od zera wypisać",liczby pierwsze,wszystkie liczby,tylko liczby parzyste,tylko liczby nieparzyste,2,images/613.jpg
"DOM dostarcza metod i własności, które w języku JavaScript pozwalają na",manipulowanie zadeklarowanymi w kodzie łańcuchami,wysyłanie danych formularza bezpośrednio do bazy danych,wykonywanie operacji na zmiennych przechowujących liczby,pobieranie i modyfikowanie elementów strony wyświetlonej przez przeglądarkę,3,
"Testy dotyczące skalowalności oprogramowania mają za zadanie sprawdzić, czy aplikacja",ma odpowiednią funkcjonalność.,jest odpowiednio udokumentowana.,potrafi działać przy zakładanym i większym obciążeniu.,"jest zabezpieczona przed niedozwolonymi operacjami, np. dzielenie przez zero.",2,
Który z komentarzy opisuje zadanie zdefiniowanej w języku PHP funkcji?,"/*Funkcja zwraca wartość wyższą z dwóch podanych, gdy są równe zwraca wartość -1 */","/* Funkcja zwraca wartość niższą z dwóch podanych, gdy są równe zwraca wartość -1 */","/* Funkcja zwraca wartość wyższą z dwóch podanych, gdy są równe zwraca wartość $a */","/*Funkcja zwraca wartość niższą z dwóch podanych, gdy są równe zwraca wartość $a */",0,images/616.jpg
"W relacyjnych bazach danych, jeżeli dwie tabele są połączone za pomocą ich kluczy głównych, mamy do czynienia z relacją",1..1,1..n,n..1,n..n,0,
"Normalizacja tabel jest procesem, który ma na celu",dodanie rekordów do bazy.,przedstawienie graficzne bazy.,jedynie utworzenie tabel i relacji w bazie.,sprawdzenie i optymalizację bazy danych.,3,
Wbudowanym w pakiet XAMPP narzędziem służącym do zarządzania bazą danych jest,MySQL Workbench,phpMyAdmin,pgAdmin,SQLite,1,
"Wskaż zapytanie, w którym dane zostały posortowane.","SELECT DISTINCT produkt, cena FROM artykuly;",SELECT AVG(ocena) FROM uczniowie WHERE klasa = 2;,SELECT nazwisko FROM firma WHERE pensja > 2000 LIMIT 10;,"SELECT imie, nazwisko FROM mieszkancy WHERE wiek > 18 ORDER BY wiek;",3,
Funkcją agregującą zwracającą liczbę rekordów jest,SUM,AVG,COUNT,NUMBER,2,
"Dana jest tabela zwierzeta z polami nazwa, gatunek, gromada, cechy, dlugosc_zycia. Dla dowolnego zestawu danych, aby wyświetlić nazwy tych zwierząt, które żyją przynajmniej 20 lat oraz są ssakami, należy wydać zapytanie:",SELECT nazwa FROM zwierzeta WHERE gromada = ‘ssak‘;,SELECT nazwa FROM zwierzeta WHERE dlugosc_zycia >=20;,SELECT nazwa FROM zwierzeta WHERE dlugosc_zycia >=20 AND gromada = ‘ssak‘;,SELECT nazwa FROM zwierzeta WHERE dlugosc_zycia >=20 OR gromada = ‘ssak‘;,2,
"W tabeli personel znajdują się pola: imie, nazwisko, pensja, staz. Aby otrzymać średnią pensję pracowników, dla których staż wynosi od 10 do 20 lat pracy włącznie, należy wykonać kwerendę:",SELECT COUNT (pensja) FROM personel WHERE staz >= 10 AND staz <= 20;,SELECT AVG(pensja) FROM personel WHERE staz >= 10 AND staz <= 20;,SELECT COUNT(*) FROM personel WHERE staz >= 10 AND staz <= 20;,SELECT AVG (*) FROM personel WHERE staz >= 10 AND staz <= 20;,1,
"Zapytanie z klauzulą JOIN stosuje się, aby",wywołać funkcję agregującą.,zdefiniować klucz obcy dla tabeli.,otrzymać wynik jedynie z jednej tabeli.,uzyskać wyniki z dwóch tabel pozostających ze sobą w relacji.,3,
Aby usunąć tabelę należy zastosować kwerendę,DELETE,UNIQUE,DROP TABLE,TRUNCATE TABLE,2,
Za pomocą przedstawionego zapytania w tabeli zostanie,zmieniona nazwa kolumny z nazwa1 na nazwa2.,zmieniona wartość kolumny nazwa2 na DOUBLE.,dodana kolumna nazwa2 typu zmiennoprzecinkowego.,dodana kolumna nazwa2 przyjmująca wartość domyślną DOUBLE.,2,images/626.jpg
Które tabele zostaną sprawdzone za pomocą przedstawionego polecenia?,"Tabele, które zmieniły się od ostatniej kontroli lub nie zostały poprawnie zamknięte.","Jedynie tabele, które nie zostały poprawnie zamknięte.","Tabele, które zmieniły się w aktualnej sesji.",Jedynie tabele referujące do innych.,0,images/627.jpg
Jakie uprawnienia będzie miał użytkownik jan po wykonaniu na bazie danych przedstawionych poleceń?,Będzie mógł zmienić strukturę tabeli klienci.,Będzie mógł usuwać rekordy z tabeli klienci.,Będzie mógł wyszukiwać dane w tabeli klienci.,Będzie mógł wstawiać rekordy do tabeli klienci.,0,images/628.jpg
Witryna internetowa wysyła dane poufne za pomocą formularza do kodu PHP. Która metoda wysłania jest najbardziej bezpieczna?,"Metoda GET, za pomocą protokołu HTTP","Metoda POST, za pomocą protokołu HTTP","Metoda GET, za pomocą protokołu HTTPS","Metoda POST, za pomocą protokołu HTTPS",3,
"Przedstawiony fragment kodu PHP ma za zadanie umieścić dane znajdujące się w zmiennych $a, $b, $c w bazie danych, w tabeli dane. Tabela dane zawiera cztery pola, z czego pierwsze to autoinkrementowany klucz główny. Które z poleceń powinno być przypisane do zmiennej $zapytanie?","SELECT '$a', '$b', '$c' FROM dane;","SELECT NULL, '$a', '$b', '$c' FROM dane;","INSERT INTO dane VALUES ('$a', '$b', '$c');","INSERT INTO dane VALUES (NULL, '$a', '$b', '$c');",3,images/630.jpg
"Witryna internetowa ma mieć przedstawioną strukturę bloków. Aby uzyskać ten układ, należy znacznikom sekcji przypisać właściwości w następujący sposób:",float tylko dla bloku 5; clear dla bloku 2,"float tylko dla bloków: 3, 4; clear dla bloku 5","float tylko dla bloku 2; clear dla bloków: 3, 4","float tylko dla bloków: 2, 3, 4; clear dla bloku 5",3,images/631.jpg
